,Week,Relative Search Volume Worldwide
0,2013-04-14,6
1,2013-04-21,3
2,2013-04-28,3
3,2013-05-05,3
4,2013-05-12,2
5,2013-05-19,2
6,2013-05-26,2
7,2013-06-02,2
8,2013-06-09,2
9,2013-06-16,1
10,2013-06-23,2
11,2013-06-30,2
12,2013-07-07,2
13,2013-07-14,1
14,2013-07-21,1
15,2013-07-28,1
16,2013-08-04,1
17,2013-08-11,2
18,2013-08-18,2
19,2013-08-25,2
20,2013-09-01,1
21,2013-09-08,1
22,2013-09-15,1
23,2013-09-22,1
24,2013-09-29,2
25,2013-10-06,2
26,2013-10-13,2
27,2013-10-20,2
28,2013-10-27,5
29,2013-11-03,5
30,2013-11-10,5
31,2013-11-17,12
32,2013-11-24,14
33,2013-12-01,14
34,2013-12-08,10
35,2013-12-15,10
36,2013-12-22,7
37,2013-12-29,6
38,2014-01-05,7
39,2014-01-12,6
40,2014-01-19,6
41,2014-01-26,6
42,2014-02-02,5
43,2014-02-09,7
44,2014-02-16,6
45,2014-02-23,10
46,2014-03-02,9
47,2014-03-09,5
48,2014-03-16,4
49,2014-03-23,4
50,2014-03-30,4
51,2014-04-06,3
52,2014-04-13,3
53,2014-04-20,3
54,2014-04-27,3
55,2014-05-04,2
56,2014-05-11,2
57,2014-05-18,2
58,2014-05-25,3
59,2014-06-01,3
60,2014-06-08,3
61,2014-06-15,3
62,2014-06-22,2
63,2014-06-29,2
64,2014-07-06,2
65,2014-07-13,2
66,2014-07-20,2
67,2014-07-27,2
68,2014-08-03,2
69,2014-08-10,3
70,2014-08-17,3
71,2014-08-24,2
72,2014-08-31,2
73,2014-09-07,3
74,2014-09-14,2
75,2014-09-21,2
76,2014-09-28,2
77,2014-10-05,3
78,2014-10-12,2
79,2014-10-19,2
80,2014-10-26,2
81,2014-11-02,2
82,2014-11-09,2
83,2014-11-16,2
84,2014-11-23,2
85,2014-11-30,2
86,2014-12-07,2
87,2014-12-14,2
88,2014-12-21,3
89,2014-12-28,2
90,2015-01-04,3
91,2015-01-11,3
92,2015-01-18,2
93,2015-01-25,2
94,2015-02-01,2
95,2015-02-08,2
96,2015-02-15,2
97,2015-02-22,2
98,2015-03-01,2
99,2015-03-08,2
100,2015-03-15,2
101,2015-03-22,2
102,2015-03-29,2
103,2015-04-05,2
104,2015-04-12,2
105,2015-04-19,2
106,2015-04-26,2
107,2015-05-03,2
108,2015-05-10,2
109,2015-05-17,2
110,2015-05-24,2
111,2015-05-31,2
112,2015-06-07,2
113,2015-06-14,2
114,2015-06-21,2
115,2015-06-28,2
116,2015-07-05,3
117,2015-07-12,2
118,2015-07-19,2
119,2015-07-26,2
120,2015-08-02,2
121,2015-08-09,2
122,2015-08-16,2
123,2015-08-23,2
124,2015-08-30,2
125,2015-09-06,2
126,2015-09-13,2
127,2015-09-20,2
128,2015-09-27,2
129,2015-10-04,2
130,2015-10-11,2
131,2015-10-18,2
132,2015-10-25,2
133,2015-11-01,4
134,2015-11-08,3
135,2015-11-15,2
136,2015-11-22,2
137,2015-11-29,2
138,2015-12-06,4
139,2015-12-13,3
140,2015-12-20,3
141,2015-12-27,2
142,2016-01-03,3
143,2016-01-10,3
144,2016-01-17,3
145,2016-01-24,2
146,2016-01-31,2
147,2016-02-07,2
148,2016-02-14,3
149,2016-02-21,2
150,2016-02-28,2
151,2016-03-06,2
152,2016-03-13,2
153,2016-03-20,2
154,2016-03-27,2
155,2016-04-03,2
156,2016-04-10,2
157,2016-04-17,2
158,2016-04-24,3
159,2016-05-01,4
160,2016-05-08,3
161,2016-05-15,2
162,2016-05-22,2
163,2016-05-29,3
164,2016-06-05,3
165,2016-06-12,4
166,2016-06-19,4
167,2016-06-26,3
168,2016-07-03,3
169,2016-07-10,3
170,2016-07-17,3
171,2016-07-24,3
172,2016-07-31,3
173,2016-08-07,3
174,2016-08-14,2
175,2016-08-21,2
176,2016-08-28,2
177,2016-09-04,3
178,2016-09-11,3
179,2016-09-18,2
180,2016-09-25,2
181,2016-10-02,2
182,2016-10-09,3
183,2016-10-16,3
184,2016-10-23,3
185,2016-10-30,3
186,2016-11-06,3
187,2016-11-13,3
188,2016-11-20,3
189,2016-11-27,3
190,2016-12-04,3
191,2016-12-11,3
192,2016-12-18,4
193,2016-12-25,5
194,2017-01-01,7
195,2017-01-08,6
196,2017-01-15,4
197,2017-01-22,4
198,2017-01-29,4
199,2017-02-05,5
200,2017-02-12,4
201,2017-02-19,5
202,2017-02-26,6
203,2017-03-05,7
204,2017-03-12,6
205,2017-03-19,6
206,2017-03-26,5
207,2017-04-02,5
208,2017-04-09,5
209,2017-04-16,5
210,2017-04-23,5
211,2017-04-30,7
212,2017-05-07,10
213,2017-05-14,11
214,2017-05-21,19
215,2017-05-28,12
216,2017-06-04,12
217,2017-06-11,13
218,2017-06-18,11
219,2017-06-25,11
220,2017-07-02,9
221,2017-07-09,10
222,2017-07-16,12
223,2017-07-23,11
224,2017-07-30,15
225,2017-08-06,14
226,2017-08-13,21
227,2017-08-20,16
228,2017-08-27,17
229,2017-09-03,18
230,2017-09-10,21
231,2017-09-17,16
232,2017-09-24,13
233,2017-10-01,12
234,2017-10-08,19
235,2017-10-15,20
236,2017-10-22,21
237,2017-10-29,28
238,2017-11-05,29
239,2017-11-12,32
240,2017-11-19,28
241,2017-11-26,66
242,2017-12-03,90
243,2017-12-10,85
244,2017-12-17,100
245,2017-12-24,64
246,2017-12-31,48
247,2018-01-07,46
248,2018-01-14,57
249,2018-01-21,38
250,2018-01-28,40
251,2018-02-04,47
252,2018-02-11,27
253,2018-02-18,24
254,2018-02-25,20
255,2018-03-04,19
256,2018-03-11,19
257,2018-03-18,18
258,2018-03-25,18
259,2018-04-01,17
260,2018-04-08,16
